Case | Material | 18-carat yellow gold, polished and curved bezel
Case | Material | Stainless steel, polished and fine-brushed
Case | Diameter | 40mm
Case | Thickness | 9.93mm
Case | Crown | Fluted, set with dark blue sapphire
Case | Glass | Curved sapphire crystal with anti reflective treatment
Case | Waterproofness | 30 meters
Dial and Hands | Dial | Chaumet blue translucent lacquer on sunray fine-brushed galvanic with engraved Bayadère stripes motif
Dial and Hands | Hands | Faceted pointed sticks, polished and rhodium plated
Dial and Hands | Index | 11 beveled polished indexes, and Arabic numeral “12”, rhodium plated and applied
Movement and Caseback | Movement | Automatic winding Swiss mechanical
Movement and Caseback | Function | Hours, Minutes, Small Second at 6 & Date, time setting by crown
Movement and Caseback | Caseback | Skeleton with sapphire crystal
Movement and Caseback | Characteristics | 42h power reserve, 27 jewels, frequency 28,800 vibrations/h
Bracelet and Buckle | Bracelet | Stainless steel brushed bracelet, with polished Bayadère
Bracelet and Buckle | Buckle | Double folding buckle with safety push buttons

Case | Material | steel, polished and satin-finished - notched unidirectional rotating bezel, satin-finished, with "CHAUMET Paris" engraving and set with 20 brilliant-cut diamonds (0.10 ct)
Case | Diameter | 33mm
Case | Thickness | 10.35mm
Case | Crown | fluted, screw-in with double safety device
Case | Glass | curved sapphire, anti-reflective treatment
Case | Waterproofness | 100 metres (10 ATM)
Dial and Hands | Dial | white-lacquered, snailed chapter ring
Dial and Hands | Hands | pointed baton hour and minute, round-tipped seconds, luminescent
Dial and Hands | Index | applied luminescent numeral "12" and indexes
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours, Minutes, Seconds and Date - time and date set via crown
Movement and Caseback | Caseback | engraved with Class One decoration
Bracelet and Buckle | Bracelet | steel bracelet, 5 rows, polished and satin-finished (additional white rubber bracelet and black technical fabric strap, with their respective buckles)
Bracelet and Buckle | Buckle | steel double folding buckle, with safety push-buttons

Case | Material | steel, polished and satin-finished - notched unidirectional rotating bezel, satin-finished, with "CHAUMET Paris" engraving and set with 20 brilliant-cut diamonds (0.10 ct)
Case | Diameter | 33mm
Case | Thickness | 10.35mm
Case | Crown | fluted, screw-in with double safety device
Case | Glass | curved sapphire, anti-reflective treatment
Case | Waterproofness | 100 metres (10 ATM)
Dial and Hands | Dial | white-lacquered, snailed chapter ring
Dial and Hands | Hands | pointed baton hour and minute, round-tipped seconds, luminescent
Dial and Hands | Index | applied luminescent numeral "12" and indexes
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours, Minutes, Seconds and Date - time and date set via crown
Movement and Caseback | Caseback | engraved with Class One decoration
Bracelet and Buckle | Bracelet | steel bracelet, 5 rows, polished and satin-finished (additional white rubber bracelet and black technical fabric strap, with their respective buckles)
Bracelet and Buckle | Buckle | steel double folding buckle, with safety push-buttons

Case | Material | steel, polished and satin-finished - notched unidirectional rotating bezel, satin-finished, with "CHAUMET Paris" engraving and set with 20 brilliant-cut diamonds (0.10 ct)
Case | Diameter | 33mm
Case | Thickness | 10.35mm
Case | Crown | fluted, screw-in with double safety device
Case | Glass | curved sapphire, anti-reflective treatment
Case | Waterproofness | 100 metres (10 ATM)
Dial and Hands | Dial | white-lacquered, snailed chapter ring
Dial and Hands | Hands | pointed baton hour and minute, round-tipped seconds, luminescent
Dial and Hands | Index | applied luminescent numeral "12" and indexes
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours, Minutes, Seconds and Date - time and date set via crown
Movement and Caseback | Caseback | engraved with Class One decoration
Bracelet and Buckle | Bracelet | steel bracelet, 5 rows, polished and satin-finished (additional white rubber bracelet and black technical fabric strap, with their respective buckles)
Bracelet and Buckle | Buckle | steel double folding buckle, with safety push-buttons

Case | Material | steel, polished and satin-finished - notched unidirectional rotating bezel, satin-finished, with "CHAUMET Paris" engraving and set with 20 brilliant-cut diamonds (0.10 ct)
Case | Diameter | 33mm
Case | Thickness | 10.35mm
Case | Crown | fluted, screw-in with double safety device
Case | Glass | curved sapphire, anti-reflective treatment
Case | Waterproofness | 100 metres (10 ATM)
Dial and Hands | Dial | white-lacquered, snailed chapter ring
Dial and Hands | Hands | pointed baton hour and minute, round-tipped seconds, luminescent
Dial and Hands | Index | applied luminescent numeral "12" and indexes
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours, Minutes, Seconds and Date - time and date set via crown
Movement and Caseback | Caseback | engraved with Class One decoration
Bracelet and Buckle | Bracelet | steel bracelet, 5 rows, polished and satin-finished (additional white rubber bracelet and black technical fabric strap, with their respective buckles)
Bracelet and Buckle | Buckle | steel double folding buckle, with safety push-buttons

Case | Material | steel, polished and satin-finished - notched unidirectional rotating bezel, satin-finished, with "CHAUMET Paris" engraving and set with 20 brilliant-cut diamonds (0.10 ct)
Case | Diameter | 33mm
Case | Thickness | 10.35mm
Case | Crown | fluted, screw-in with double safety device
Case | Glass | curved sapphire, anti-reflective treatment
Case | Waterproofness | 100 metres (10 ATM)
Dial and Hands | Dial | white-lacquered, snailed chapter ring
Dial and Hands | Hands | pointed baton hour and minute, round-tipped seconds, luminescent
Dial and Hands | Index | applied luminescent numeral "12" and indexes
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours, Minutes, Seconds and Date - time and date set via crown
Movement and Caseback | Caseback | engraved with Class One decoration
Bracelet and Buckle | Bracelet | steel bracelet, 5 rows, polished and satin-finished (additional white rubber bracelet and black technical fabric strap, with their respective buckles)
Bracelet and Buckle | Buckle | steel double folding buckle, with safety push-buttons

Case | Material | steel, polished and satin-finished - notched unidirectional rotating bezel, satin-finished, with "CHAUMET Paris" engraving and set with 20 brilliant-cut diamonds (0.10 ct)
Case | Diameter | 33mm
Case | Thickness | 10.35mm
Case | Crown | fluted, screw-in with double safety device
Case | Glass | curved sapphire, anti-reflective treatment
Case | Waterproofness | 100 metres (10 ATM)
Dial and Hands | Dial | white-lacquered, snailed chapter ring
Dial and Hands | Hands | pointed baton hour and minute, round-tipped seconds, luminescent
Dial and Hands | Index | applied luminescent numeral "12" and indexes
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours, Minutes, Seconds and Date - time and date set via crown
Movement and Caseback | Caseback | engraved with Class One decoration
Bracelet and Buckle | Bracelet | steel bracelet, 5 rows, polished and satin-finished (additional white rubber bracelet and black technical fabric strap, with their respective buckles)
Bracelet and Buckle | Buckle | steel double folding buckle, with safety push-buttons

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat white gold, bezel set with 62 brilliant-cut diamonds (0.23ct)
Case | Diameter | 27.30 x 20.20mm
Case | Thickness | 7.50mm
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | White sun-brushed and engraved
Dial and Hands | Hands | Swords, polished
Dial and Hands | Index | 1 brilliant-cut diamond at 12 (0.048ct)
Movement and Caseback | Movement | high-precision Swiss quartz
Movement and Caseback | Function | Hours and minutes, set via corrector button on the case -back
Movement and Caseback | Caseback | Engraved with the Chaumet tiara
Bracelet and Buckle | Bracelet | Black satin bangle strap and white gold Aigrette set with brilliant-cut diamonds (0.077ct)

Case | Material | 18-carat pink gold, polished, paved with 76 brilliant-cut diamonds (1.35cts)
Case | Diameter | 35mm
Case | Thickness | 10mm
Case | Crown | paved with 16 brilliant-cut diamonds (0.03ct)
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | gold base, engraved, sculpted, with miniature painting
Dial and Hands | Hands | Stick, polished, Pink gold-plated
Movement and Caseback | Movement | Swiss mechanical self-winding
Movement and Caseback | Function | Hour, Minute - set via crown
Movement and Caseback | Caseback | Skeleton with round sapphire crystal opening, clipped case-back
Movement and Caseback | Characteristics | power-reserve: 42h, 21 jewels, frequency: 28'800 vph
Bracelet and Buckle | Bracelet | Orange brilliant alligator strap, with beige leather lining
Bracelet and Buckle | Buckle | 18K-carat pink gold folding buckle

Case | Material | 18-carat pink gold, polished, paved with 76 brilliant-cut diamonds (1.35cts)
Case | Diameter | 35mm
Case | Thickness | 10mm
Case | Crown | paved with 16 brilliant-cut diamonds (0.03ct)
Case | Glass | Curved sapphire, anti-reflective treatment
Case | Waterproofness | 30 metres (3 ATM)
Dial and Hands | Dial | gold base, engraved, sculpted, with miniature painting
Dial and Hands | Hands | Stick, polished, Pink gold-plated
Movement and Caseback | Movement | Swiss mechanical self-winding
Movement and Caseback | Function | Hour, Minute - set via crown
Movement and Caseback | Caseback | Skeleton with round sapphire crystal opening, clipped case-back
Movement and Caseback | Characteristics | power-reserve: 42h, 21 jewels, frequency: 28'800 vph
Bracelet and Buckle | Bracelet | Orange brilliant alligator strap, with beige leather lining
Bracelet and Buckle | Buckle | 18K-carat pink gold folding buckle

Case | Material | 18-carat pink gold, polished, paved with 76 brilliant-cut diamonds (1.35cts)
Case | Diameter | 35mm
Case | Thickness | 10mm
